epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5063,0,130.208,0,0,0,0,0,0,156.16,0,0.0001667,0.0001667,0.0001667
2,25.0035,0,122.448,0,0,0,0,0,0,154.312,0,0.000338518,0.000338518,0.000338518
3,37.3707,0,113.773,0,0,0,0,0,0,144.757,0,0.000498233,0.000498233,0.000498233
4,50.9533,0,106.595,0,0,0,0,0,0,222.069,0,0.000645846,0.000645846,0.000645846
5,64.7825,0,97.1957,0,0,0,0,0,0,125.642,0,0.000781356,0.000781356,0.000781356
6,77.137,0,90.1929,0,0,0,0,0,0,104.153,0,0.000904764,0.000904764,0.000904764
7,89.3187,0,83.4904,0,0,0,0,0,0,162.351,0,0.00101607,0.00101607,0.00101607
8,101.291,0,78.2394,0,0,0,0,0,0,7863.56,0,0.00111527,0.00111527,0.00111527
9,113.769,0,73.8842,0,0,0,0,0,0,inf,0,0.00120237,0.00120237,0.00120237
10,127.783,0,70.4593,0,0,0,0,0,0,inf,0,0.0011719,0.0011719,0.0011719
11,140.194,0,67.0483,0,0,0,0,0,0,10496.4,0,0.00111689,0.00111689,0.00111689
12,152.524,0,64.1109,0,0,0,0,0,0,nan,0,0.00106188,0.00106188,0.00106188
13,165.167,0,61.3111,0,0,0,0,0,0,5104.56,0,0.00100687,0.00100687,0.00100687
14,177.855,0,58.7316,0,0,0,0,0,0,2855.11,0,0.000951857,0.000951857,0.000951857
15,189.801,0,56.5378,0,0,0,0,0,0,751.403,0,0.000896846,0.000896846,0.000896846
16,203.063,0,55.1327,0,0,0,0,0,0,107.875,0,0.000841835,0.000841835,0.000841835
17,216.473,0,52.6978,0,0,0,0,0,0,74.6632,0,0.000786824,0.000786824,0.000786824
18,229.282,0,50.9945,0,0,0,0,0,0,557.049,0,0.000731813,0.000731813,0.000731813
19,241.485,0,49.7203,0,0,0,0,0,0,1276.33,0,0.000676802,0.000676802,0.000676802
20,253.496,0,48.6717,0,0,0,0,0,0,4184.11,0,0.000621791,0.000621791,0.000621791
21,266.195,0,47.1863,0,0,0,0,0,0,1265.14,0,0.00056678,0.00056678,0.00056678
22,278.298,0,47.9624,0,0,0,0,0,0,5801.11,0,0.000511769,0.000511769,0.000511769
23,290.575,0,45.5093,0,0,0,0,0,0,275.993,0,0.000456758,0.000456758,0.000456758
24,302.578,0,44.455,0,0,0,0,0,0,75.0174,0,0.000401747,0.000401747,0.000401747
25,314.793,0,43.5878,0,0,0,0,0,0,80.8663,0,0.000346736,0.000346736,0.000346736
26,327.089,0,42.8935,0,0,0,0,0,0,90.6771,0,0.000291725,0.000291725,0.000291725
27,339.812,0,42.2793,0,0,0,0,0,0,62.5938,0,0.000236714,0.000236714,0.000236714
28,352.708,0,41.7716,0,0,0,0,0,0,64.6736,0,0.000181703,0.000181703,0.000181703
29,365.564,0,41.4126,0,0,0,0,0,0,64.3767,0,0.000126692,0.000126692,0.000126692
30,378.202,0,41.269,0,0,0,0,0,0,64.5174,0,7.1681e-05,7.1681e-05,7.1681e-05
